e, loss
0, 0.015432360599266153
1, 0.0025039541706486576
2, 0.0016173477575389893
3, 0.0012857157983642514
4, 0.0012054162610345268
5, 0.001108601707605002
6, 0.0008457412081214285
7, 0.0009711738133646891
8, 0.000939352786288409
9, 0.0008501595990074145
10, 0.000838201394728821
11, 0.0009190519591192737
12, 0.0008925101684898216
13, 0.0008718203804855159
14, 0.0008446155319243543
15, 0.0007515823181039436
16, 0.0007745385894282125
17, 0.000813490227599133
18, 0.0007641308512284226
19, 0.0006350715320399923
